source	translation	literal_translation
DHP266	He is not a monk on that account, just because he begs from others; having undertaken a carnal practice, one is not a monk to that extent.	Not on that account he a monk is, in so far as he begs from others; a carnal practice having undertaken, a monk he is not to that extent.
DHP267	Whoever here, having removed both merit and evil, living the holy life, lives in the world with understanding—he is truly called a monk.	Whoever here, merit and evil having removed, living the holy life, with understanding in the world lives, he truly 'monk' is called.
DHP268	One does not become a sage by silence if one is foolish and ignorant. But the wise man who, as if holding a pair of scales, takes what is best...	Not by silence a sage becomes, one of foolish nature and ignorant; but whoever, as if holding up a scale, taking the best, is a wise man.
DHP269	He shuns evil actions; for that reason he is a sage; he is a sage because of that. Whoever weighs both worlds, for that is he called a sage.	Evils he completely avoids, he is a sage, because of that he is a sage; whoever knows both worlds, a sage because of that he is called.
DHP270	One is not a noble person because one harms living beings. By non-harming towards all living beings, one is called 'noble'.	One is not a noble one by that [fact] that one harms living beings; by harmlessness towards all living beings, one is called 'noble'.
DHP271	Not by mere precepts and practices, nor by much learning, or even by the attainment of concentration, nor by a secluded residence,	Not by-mere-precepts-and-practices, by-deep-learning or indeed, rather or by-attainment-of-meditative-composure, by-secluded-residence or.
DHP272	I experience the happiness of renunciation, which is not experienced by ordinary people. O monk, do not be confident until you have reached the destruction of the effluents.	I experience the renunciation-happiness, which is non-ordinary-folk-cultivated; O monk, do not fall into trust, not-having-attained the effluent-destruction.
DHP273	The eightfold path is the best of paths, the four truths are the best of truths; dispassion is the best of states, and the one with vision is the best of bipeds.	Of paths, the eight-limbed is the best; of truths, the four words; dispassion is the best of phenomena; and among two-footed [beings], the one with vision.
DHP274	This just is the path; there is no other for the purification of insight. You should follow this path; it is the bewildering of Mara.	Just this is the path, there is not another for the purification of insight. This indeed you follow; this is Mara's bewildering.
DHP275	For once you have entered upon this path, you will make an end of suffering; the path has been pointed out to you by me, having understood the removal of the barb.	Indeed, you, having followed this, will make an end of suffering; the path has been declared to you by me, after having understood the cutting out of the arrow.
DHP276	You yourselves must make the effort; the Tathāgatas are only teachers. Those who have entered the path and are meditative will be freed from the bonds of Māra.	By you the effort should be made; the Tathāgatas are speakers. Practising ones will be freed, meditative ones, from Māra's bond.
DHP277	When one sees with wisdom that 'all conditioned things are impermanent', then one becomes disenchanted with suffering. This is the path to purity.	When [one] sees with wisdom [that] 'all conditioned things [are] impermanent', then [one] is disenchanted in suffering; this [is] the path for purity.
DHP278	'All conditioned things are suffering'—when one sees this with wisdom, then one is disenchanted with suffering. This is the path to purity.	All formations [are] painful—when with wisdom [one] sees, then [one] is disenchanted in suffering; this [is] the path for purity.
DHP279	When one sees with wisdom that 'all phenomena are not-self,' then one grows weary of suffering. This is the path to purification.	All phenomena are not-self thus, when with wisdom one sees, then one is disenchanted with suffering; this is the path to purification.
DHP280	One who does not strive when it is time to strive, who though young and strong is full of sloth, with a mind of depressed resolve and indolent—that lazy person does not find the path to wisdom.	At the right time for effort not exerting himself, young and strong yet endowed with laziness, with depressed thoughts in his mind and indolent, that lazy one does not find the path by means of wisdom.
DHP281	Guarding one's speech and well restrained in mind, one should do no unskilful deed with the body. One should purify these three paths of action, and should win the path proclaimed by the seers.	Guarding speech, well restrained with the mind, and one should do no unskilful deed with the body; one should purify these three paths of action; one should win the path proclaimed by the seer.
DHP282	Wisdom truly arises from meditation; from the absence of meditation, wisdom is lost. Knowing this two-fold path for both prosperity and decline, one should so conduct oneself that wisdom increases.	From meditation indeed wisdom is born, from non-meditation [is] the destruction of wisdom; having known this two-fold path for development and for decline, one should establish oneself in such a way that wisdom increases.
DHP283	Cut down the forest of desire, not just the tree; from the forest of desire fear arises. Having cut down both the forest and the underbrush of desire, be desireless, O monks.	Cut the forest, not the tree; from the forest fear is born; having cut the forest and the undergrowth, monks, be without-forest.
DHP284	For as long as even the tiniest desire of a man for women is not cut off, so long is his mind attached, like a suckling calf to its mother.	For as long as indeed desire is not cut off, even an atomic amount, of a man in women, to that extent that one has a bound mind, as a milk-drinking calf in a mother.
DHP285	Cut off affection for oneself, like an autumnal lotus; develop the path of peace, the Nibbāna taught by the Fortunate One.	Cut off the affection of self, like an autumnal lotus; develop only the path of peace, Nibbāna taught by the Fortunate One.
DHP286	'Here I will live during the rains, here in the winter and the summer,' so the fool thinks, not realizing the danger.	'Here I will dwell during the rainy season, here in the winter and summer,' thus the fool thinks; he does not understand the obstacle.
DHP287	Death carries away that man who is besotted with sons and cattle, whose mind is obsessed, just as a great flood sweeps away a sleeping village.	Death, having seized him, carries away that man who is intoxicated with children and livestock and whose mind is clinging, like a great flood [sweeps away] a sleeping village.
DHP288	Sons are no protection, nor father, nor relatives; for one overcome by death, there is no protection among kin.	Sons are not for protection, nor father, nor even relatives; for one seized by death, there is no protection among relatives.
DHP289	Understanding this purpose, the wise man restrained by ethics should quickly clear the path leading to Nibbāna.	Having understood this reason, the wise person restrained by virtue, should extremely rapidly clear the path leading to Nibbāna.
DHP290	If by forsaking a limited happiness one would see a vast happiness, let the wise person forsake the limited happiness, considering the vast happiness.	From the forsaking of a measure of happiness, if one should see extensive happiness, the wise man should abandon the measure of happiness, seeing extensive happiness.
DHP291	One who desires happiness for oneself by imposing suffering on others, being entangled in the bond of hatred, is not freed from hatred.	By the imposing of suffering on others, he desires happiness for himself; entangled in the entanglement of hatred, he is not freed from hatred.
DHP292	For what truly should be done is neglected, while what should not be done is instead performed; for those who are haughty and heedless, their defilements increase.	Indeed, what (is) duty (is) thrown away, but non-duty is performed; of (those who are) arrogant (and) negligent, of them increase the outflows.
DHP293	Those who are constantly and resolutely engaged with mindfulness of the body do not pursue what should not be done, but persistently perform their duties. For those who are mindful and clearly aware, the defilements come to an end.	And for those whose mindfulness immersed in the body is resolutely undertaken constantly, they do not engage in what should not be done, being persistent doers of their duty. Of the mindful, of those clearly aware, the defilements go to an end.
DHP294	Having killed mother and father, and two warrior kings, and having killed a kingdom together with its retinue, the Brahman goes untroubled.	Having killed mother, father, two kings and noble warriors, having killed kingdom with retinue, untroubled goes the Brahman.
DHP295	Having killed mother and father, and two learned kings, and having killed the fifth, the tiger-like peril, the holy man goes untroubled.	Having killed mother, [having killed] father, [having killed] two kings and [two] learned ones, having killed [the hindrance] with a tiger as the fifth, the holy man goes untroubled.
DHP296	The disciples of Gotama are always wide awake; those for whom, day and night, mindfulness is constantly focused on the Buddha.	The disciples of Gotama wake up well awakened always, for whom by day and by night, mindfulness (is) constantly gone to the Buddha.
DHP297	The disciples of Gotama always wake up wide awake; those whose mindfulness is constantly immersed in the Teaching, both by day and by night.	The disciples of Gotama always wake up well awakened, those for whom mindfulness is constantly directed toward the Teaching by day and by night.
DHP298	The disciples of Gotama are always wide awake when they wake up; those whose mindfulness is constantly focused on the Sangha, day and night.	Wide awake they wake up, always Gotama's disciples, whose mindfulness day and night is constantly focused on the community.
DHP299	Gotama’s disciples always awaken wide awake—they for whom mindfulness directed to the body is constant by day and by night.	The disciples of Gotama always awaken well-awakened, for whom mindfulness directed to the body is constant by day and by night.
DHP300	Gotama's disciples are always wide awake when they awaken—those whose minds, both by day and by night, delight in non-violence.	The disciples of Gotama always wake up well-awakened, they whose mind by day and by night is delighted in non-harming.
DHP301	The disciples of Gotama always awaken wide awake—those whose minds, both by day and by night, are devoted to meditation.	Wide awake they awaken, always Gotama's disciples, of whom by day and by night the mind is delighted in meditation.
DHP302	Going forth is difficult and hard to find pleasure in. Houses are difficult to live in and painful. Living with those who are different is suffering. A traveller is afflicted by pain; therefore, one should not be a traveller, nor should one be afflicted by pain.	Difficult to go forth, difficult to enjoy; difficult to live in are houses, painful; living together with others is painful, a traveller afflicted with suffering; therefore one would not be a traveller, nor would one be afflicted with suffering.
DHP303	One who is faithful and full of virtue, endowed with fame and wealth, is honored in whatever place they frequent.	Faithful, with virtue endowed, with fame and wealth provided, whatever place he resorts to, in that very place [he is] honored.
DHP304	The good shine even from afar, like the Himalaya mountain; the unvirtuous are not seen here, like arrows shot at night.	From a distance virtuous men shine, like the Himalaya mountain; unvirtuous men here are not seen, like arrows shot at night.
DHP305	Sitting alone, sleeping alone, living alertly alone, taming oneself alone, one should delight at the edge of the forest.	One sitting alone, one sleeping alone, living alertly alone, taming oneself alone, one should be delighted in the forest region.
DHP306	The speaker of falsehood goes to hell, and also he who, having done something, says 'I did not do it.' Both of them, after death, become equal in the hereafter—people of base deeds.	A liar goes to hell, or even whoever having done says 'I do not do'; both even they after death equal become, low-actioned people in the hereafter.
DHP307	Many who wear the yellow robe around their necks, but are of evil character and unrestrained—such evil-doers are reborn in hell because of their evil deeds.	Many wearing the yellow robe on the neck, evil-natured and unrestrained, those evil ones by evil deeds are reborn in hell.
DHP308	Better to eat an iron ball, glowing and like a flame of fire, than that an immoral and unrestrained man should eat the country's alms food.	Better [is] an iron ball eaten, heated [and] like fire-crests, than if an immoral one, unrestrained, should eat the country's alms food.
DHP309	A negligent man who consorts with another's wife meets with four things: accumulation of demerit, lack of pleasant sleep, thirdly blame, and fourthly hell.	A negligent man, an associater with another's wife, undergoes four states: acquisition of demerit, no comfortable rest, blame as the third, and hell as the fourth.
DHP310	Acquiring demerit and a bad destination; the pleasure of a man and woman in fear is brief; the king inflicts a heavy punishment; therefore, a man should not consort with another's wife.	Acquiring of demerit and a destination bad; of a frightened (man), of a frightened (woman) pleasure and brief; a king and punishment heavy imposes; therefore a man another's wife not should consort with.
DHP311	Just as kusa grass, if wrongly held, cuts the hand, so the ascetic life, if wrongly practiced, drags one to hell.	As kusa grass wrongly grasped cuts the hand indeed, asceticism wrongly grasped drags to hell.
DHP312	Whatever lax deed, whatever corrupted vow, and the holy life that is suspect—that is not of great fruit.	Whatever lax action, and whatever corrupted vow, [and] suspect holy life, that is not great-fruited.
DHP313	If one should do something, one should do it firmly; one should exert oneself vigorously. For a lax wanderer only stirs up more defilement.	If [one] should do [it], one should do it [firmly]; [one] should strive for it firmly. For a lax wandering monk stirs up more dust.
DHP314	Better is a bad deed left undone, for a bad deed brings regret later on. And better is a good deed done, which, having done, one does not regret.	An undone bad deed is better; afterwards, the bad deed burns [one with remorse]. And a done good deed is better, which, having done, one does not regret.
DHP315	Just like a border fortress, guarded inside and out, so should you guard yourselves. Let not the moment pass you by, for those who miss the moment sorrow when they are consigned to hell.	Like a border town guarded inside and out, so you should guard the self; may the moment not pass you by; for those who have missed the moment sorrow, having been consigned in hell.
DHP316	Beings are ashamed of what they should not be ashamed of, and are not ashamed of what they should be ashamed of; undertaking wrong views, they go to a state of misery.	They are ashamed in that which should not be ashamed of, they are not ashamed in that which should be ashamed of; from the undertaking of wrong views, beings go to a state of misery.
DHP317	Seeing danger in what is safe and seeing no danger in what is dangerous, having taken up wrong views, beings go to a state of misery.	In the non-fearful danger-seeing [ones], and in the fearful non-danger-seeing [ones], from the undertaking of wrong views, beings go to a bad destination.
DHP318	Beings who perceive a fault in what is not a fault, and see no fault in what is a fault, go to a state of misery because they have adopted wrong views.	In what is not a fault [they are] perceiving-fault; and in what is a fault [they are] seeing-no-fault; from the undertaking of wrong views, beings go to a state of misery.
DHP319	Having recognized a fault as a fault and what is not a fault as not a fault, beings who have undertaken right view go to a happy destination.	and a fault as a fault having recognized, and what is not a fault as not a fault, who have undertaken right view, beings go to a happy destination.
DHP320	As an elephant in battle endures an arrow shot from a bow, so will I endure abuse; for many people are ill-behaved.	I, like an elephant in battle [endures] an arrow shot from a bow, will endure verbal assault; for the multitude is ill-behaved.
DHP321	They lead the tamed elephant to the assembly; the king mounts the tamed elephant. Among humans, the tamed one is best, who endures abuse.	The tamed [one] they lead to an assembly, the tamed [one] the king mounts; the tamed [one is] best among humans, who endures abuse.
DHP322	Trained mules are excellent, as are thoroughbred Sindh horses and great tusker elephants; but even better than those is one who has tamed himself.	Tamed mules are better, and thoroughbred Sindh horses, and elephants and great elephants; one who is self-tamed is better than that.
DHP323	For one cannot go to the untraveled region by these vehicles, just as a tamed person goes by means of a well-tamed self.	For one would not go to the untraveled region by these vehicles, as by the well-tamed self, a tamed one goes by the tamed [self].
DHP324	The elephant named Dhanapāla, releasing pungent excretion (in the height of rut) and difficult to restrain, does not eat a morsel when bound; the elephant remembers the elephant forest.	The elephant named Dhanapāla, releasing pungent excretion, difficult to restrain, bound, a morsel does not eat; he remembers of the elephant forest, the elephant.
DHP325	When one is sluggish and gluttonous, a sleeper who rolls around in bed like a great hog fed on fodder, that fool is reborn again and again.	When [one] is drowsy and a glutton, a sleeper rolling around and lying down, like an enormous pig nourished by fodder, the fool approaches the womb repeatedly.
DHP326	This mind formerly wandered wherever it desired, wherever it wished, as it pleased. Now I shall thoroughly restrain it, just as a mahout restrains an elephant in rut with his hook.	This mind formerly wandered its wandering wherever it desired, where it wished, as was comfortable; that today I will restrain properly, like an elephant in rut is restrained by a hook-holder.
DHP327	Delight in diligence, protect your own mind, lift yourselves out of the slough, like an elephant sunk in the mud.	Be ones delighting in non-heedfulness, guard your own mind, rescue yourselves from the bad way, like an elephant sunk in the mud.
DHP328	If one should find a prudent companion, a wise fellow-traveler who lives virtuously, then, overcoming all dangers, one should wander with him, happy and mindful.	If one should obtain a wise companion, wandering together, a wise one who lives well, having overcome all dangers, one should live with him, delighted in mind and mindful.
DHP329	If one does not find a wise companion, a fellow-traveller, a prudent sage, then like a king who has abandoned a conquered kingdom, one should wander alone like an elephant in the Matanga forest.	If (one) should not find a wise companion, faring together, a prudent sage; (then) like a king having abandoned a conquered kingdom, (one) should wander alone (as) an elephant in the Matanga forest.
DHP330	Life alone is better, there is no companionship with a fool; let one live alone and do no evil, unconcerned, like a bull elephant in the Mātaṅga forest.	The living of one is better; there is no friendship in a fool; one should live alone and not do evils, having little desire, like an elephant in the Mātaṅga-forest.
DHP331	When a need arises, friends are a blessing; contentment is a blessing with whatever may be. Merit is a blessing at the end of life; the abandoning of all suffering is a blessing.	In a need having arisen, happy [are] companions; contentment [is] happy which [is] with whatever kind; merit [is] happy in the destruction of life; the abandoning of all suffering [is] happy.
DHP332	Love for one's mother is a blessing in the world, and love for one's father is a blessing too. Devotion to ascetics is a blessing in the world, and devotion to holy ones is a blessing too.	Pleasant is love for mother in the world, and love for father is pleasant, pleasant is devotion to ascetics in the world, and devotion to holy ones is pleasant.
DHP333	Virtue is pleasant until old age; faith, when established, is pleasant; the acquisition of wisdom is pleasant; the non-doing of evils is pleasant.	Pleasant until old age is virtue; pleasant is faith established; pleasant is the acquisition of wisdom; the non-doing of evils is pleasant.
DHP334	For a person who lives heedlessly, craving grows like a māluvā creeper; he leaps from life to life like a monkey seeking fruit in the forest.	Of a human being living heedlessly, craving increases like a māluvā creeper; he leaps from here to there like a monkey desiring fruit in a forest.
DHP335	When this wretched craving, this ensnarer in the world, overcomes someone, their sorrows grow like vetiver grass soaked by rain.	When this wretched craving, the entangler in the world, overcomes [a person], sorrows of that [one] increase like vetiver grass rained upon.
DHP336	But whoever in this world overcomes this wretched craving, which is so difficult to escape, sorrows fall away from him like drops of water from a lotus leaf.	Whoever and this overcomes wretched craving in the world, difficult to get past, sorrows from him fall away, like a drop of water from a lotus leaf.
DHP337	I say this to you: good luck to you, as many as are assembled here! Dig up the root of craving, like one seeking the fragrant root of vetiver grass digs up the birana grass. Do not let Mara break you again and again, like the stream breaks a reed.	That I say to you, good luck to you, as many as are here gathered; dig up the root of craving, like one needing vetiver grass (digs) birana grass; let Mara not break you again and again like the stream (breaks) a reed.
DHP338	Just as a tree, though cut off, grows again if its root is uninjured and firm, so too this suffering arises again and again when the underlying tendency of craving is not destroyed.	Just as when the root is uninjured and firm, a tree, even if cut, grows back again; even so when the underlying tendency of craving is not destroyed, this suffering arises again and again.
DHP339	When the thirty-six streams flowing toward pleasant things are strong, the person of wrong views is carried away by those currents—thoughts dependent on passion.	Whose thirty-six streams, flowing to the pleasant, [are] strong, [those] currents carry away the person of wrong view, [being] thoughts dependent on passion.
DHP340	The currents flow everywhere; the creeper of craving, having arisen, remains. Seeing that creeper grown, cut off its root with wisdom.	The currents flow everywhere; the creeper, having arisen, persists; and having seen that grown creeper, cut the root by wisdom.
DHP341	Streaming and steeped in love, joys arise in a person. Attached to pleasure and seeking happiness, those people indeed undergo birth and old age.	Flowing and steeped in affection, joys exist for a person. Those attached to pleasure and seeking happiness, those men are indeed undergoing birth and old age.
DHP342	Beings beset by craving scurry around like a trapped rabbit. Bound by fetters and ties, they undergo suffering again and again for a long time.	Beings beset by craving scurry around like a trapped rabbit; attached by the bond of fetters, they experience suffering again and again for a long time.
DHP343	Beset by craving, people wriggle about like a trapped rabbit. Therefore, one should dispel craving, aspiring for dispassion for oneself.	Mankind beset by craving wriggle about like a trapped rabbit; therefore [one] should dispel craving, aspiring for dispassion of oneself.
DHP344	Whoever, being free from craving, is inclined to the monk’s life, yet having been freed from craving runs right back to craving—come, behold that person! Though freed, he runs right back to bondage.	Whoever (is) without desire, (yet) intent on the forest, freed from the forest (of desire), runs just to the forest (of desire); see that person here—freed, he runs just to bondage.
DHP345	The wise do not say that bond is strong which is made of iron, wood, or reed; but that obsession with jewels and earrings, and that longing for children and wives, is a truly strong bond.	The wise say that bond is not strong which is made of iron, and which is made of wood and reed; [but] the infatuation for jewels and earrings, and the longing which is for children and wives [they say is strong].
DHP346	The wise say this bond is strong: dragging down, seemingly loose, yet hard to escape. Having cut even this, they wander forth, indifferent, having abandoned the pleasure of the senses.	This strong bond say the wise, dragging down, loose, hard to release; even this having cut, they wander forth, indifferent, having abandoned sensual pleasure.
DHP347	Those filled with passion fall into the stream, like a spider into the web it made itself. Having cut even this, the wise wander on, indifferent to pleasure, having abandoned all suffering.	Who [are] filled with passion [they] fall into the stream, [like] a spider [into] a self-made web; having cut even this, the wise ones go, indifferent, having abandoned all suffering.
DHP348	Let go of the past, let go of the future, let go of the present. Having gone beyond existence, with a mind liberated in every way, you will not come again to birth and old age.	Let go of the before, let go of the after, let go of the middle, having reached the far shore of existence; everywhere with a liberated mind, not again to birth and old age will you come.
DHP349	For a person disturbed by thoughts, with intense passion, and perceiving as beautiful, craving increases even more; he indeed makes the bond strong.	Of a person churned by thoughts, of one having intense passion, of one observing beauty, more craving increases; this one indeed makes the bond strong.
DHP350	And whoever is devoted to the calming of thoughts, always mindful and developing the meditation on foulness, he indeed will make an end; he will cut the bond of Māra.	And who is delighted in the calming of thoughts, always mindful, develops the foulness, he indeed will make an end, he will cut the bond of Māra.
DHP351	One who has reached the goal, who is fearless, free from craving and spotless, has cut off the barbs of existence. This is his final body.	Reached the end, fearless, gone-craving, unblemished, he has cut off the arrows of existence; final this body.
DHP352	One who is free from craving and attachment, who is skilled in language and the meaning of expressions, who knows the arrangement of syllables and their sequence—he is indeed in his final body; one of great wisdom, he is called a 'Great Man.'	Free from craving, free from attachment, skilled in language and expressions, he would know the arrangement of syllables and the before-and-after; he indeed [is] in his final body; [one] of great wisdom, 'Great Man' he is called.
DHP353	I have conquered all, I know all, and I am untainted by all things. Having abandoned all and being liberated through the extinction of craving, having realized this by myself, whom should I name as my teacher?	I am the overcomer of all, the knower of all, untainted in all phenomena; giving up all, liberated in the destruction of craving, having realized by myself, whom should I point to?
DHP354	The gift of Dhamma excels all gifts; the taste of Dhamma excels all tastes; delight in Dhamma excels all delights; the destruction of craving overcomes all suffering.	The gift of Dhamma conquers all giving; the taste of Dhamma conquers all tastes; the delight in Dhamma conquers all delight; the destruction of craving conquers all suffering.
DHP355	Riches ruin the fool, but not those in quest of the Beyond. Through craving for riches, the fool ruins himself as well as others.	Wealth ruins the fool, but not those seeking the Beyond; through craving for wealth, the fool ruins himself as well as others.
DHP356	Fields are ruined by weeds; this mankind is ruined by passion. Therefore, a gift given to those free from passion yields great fruit.	Fields are ruined by weeds; this population is ruined by passion; therefore indeed, in those free from passion, an offering is of great fruit.
DHP357	Fields are ruined by weeds, and people are ruined by hatred. Therefore, a gift given to those free from hatred yields great fruit.	Fields are weed-ruined, this population is hate-ruined; therefore indeed, what is given to those who have gone beyond hatred is of great fruit.
DHP358	Fields are ruined by weeds, this generation is ruined by delusion; therefore, what is given to those free from delusion yields great fruit.	Fields are spoiled by weeds, this generation is spoiled by delusion; therefore indeed, to those free from delusion, what is given exists as of great fruit.
DHP359	The Chapter on Monks	The monk chapter
DHP360	Restraint of the eye is good, restraint of the ear is good, restraint of the nose is good, restraint of the tongue is good.	Restraint with the eye is good, good is restraint with the ear, with the nose restraint is good, good is restraint with the tongue.
DHP361	Restraint in body is good; good is restraint in speech. Restraint in mind is good; good is restraint everywhere. The monk who is restrained in every way is freed from all suffering.	Restraint by body is good, good is restraint by speech, restraint by mind is good, good is restraint in everything, everywhere restrained monk from all suffering is freed.
DHP362	Restrained in hands, restrained in feet, restrained in speech, and fully restrained in all ways; finding inner joy, composed, solitary and content—him they call a monk.	Restrained in hands, restrained in feet, restrained in speech, highest among the restrained, delighting in the internal, composed, alone, content, that one they call a monk.
DHP363	Whoever is a monk restrained in speech, who speaks wisely and is not arrogant, explaining the meaning and the teaching—sweet is his speech.	Whoever is a mouth-restrained monk, a wise speaker, not arrogant, explains the meaning and the teaching; sweet is his speech.
DHP364	The monk who dwells in the Dhamma, delights in the Dhamma, reflects on the Dhamma, and recollects the Dhamma, does not fall away from the true Dhamma.	A monk enjoying the Dhamma, devoted to the Dhamma, reflecting on the Dhamma, and recollecting the Dhamma, does not fall away from the true Dhamma.
DHP365	One should not despise one's own gain, nor should one live envying others; a monk who envies others does not attain concentration.	One's own gain one should not despise, not envying others one should live; a monk envying others concentration does not attain.
DHP366	Even if a monk receives little, he does not look down on his own gain. The gods truly praise him, who is pure in livelihood and energetic.	If even receiving little a monk his own gain does not despise, him indeed the gods praise, pure in livelihood, not lazy.
DHP367	One who has no notion of 'mine' toward mentality and materiality in any way, and who does not grieve for what is not there, is truly called a monk.	In every way in name and form, for whom there is no 'mine-making', and who does not grieve for what is not present, he indeed is called a 'monk'.
DHP368	A monk who dwells in friendliness and has confidence in the Buddha's teaching, would attain the peaceful state, the stilling of conditions, the bliss.	Whoever monk (is) a friendliness-dweller, (is) confident in the Buddha's teaching, would attain the peaceful state, the conditioned-thing-stilling, the blissful.
DHP369	Bail out this boat, monk! When emptied, it will sail swiftly for you. Having cut off passion and hatred, you will then reach Nibbāna.	Bail out, O monk, this boat. Bailed out, for you it will go swiftly. Having cut off passion and hatred, then you will reach Nibbāna.
DHP370	One should cut off five, abandon five, and further cultivate five. A monk who has transcended the five attachments is called 'one who has crossed over the flood'.	Five one should cut, five one should abandon, and further five one should develop; the monk who has gone beyond the five attachments is called 'one who has crossed over the flood'.
DHP371	Meditate, monk! Do not be negligent. Do not let your mind delight in sensual pleasures. Do not swallow a red-hot iron ball through negligence, lest you cry out 'This is suffering!' while being burned.	Meditate, O monk, do not be negligent; let not your mind delight in the objects of sensual pleasure; do not swallow a metal ball, being negligent; do not cry out 'This is suffering' while being burned.
DHP372	There is no meditative absorption for one without wisdom, and no wisdom for one who does not meditate. In whom there is both meditative absorption and wisdom, he is indeed close to Nibbāna.	There is no meditation for the unwise; wisdom is not for the one not meditating; in whom meditation and wisdom [are], he indeed is near Nibbāna.
DHP373	For the monk who has entered an empty building and has a calm mind, there is a superhuman delight as he rightly discerns the Dhamma.	Of the monk who has entered an empty dwelling, whose mind is peaceful, a superhuman delight exists (for him) who is seeing the Dhamma rightly.
DHP374	Whenever one contemplates the rising and falling of the aggregates, one obtains joy and happiness; that is the deathless for those who understand it.	Whenever, whenever he contemplates the rising and falling of the aggregates, he obtains joy and happiness; that is the deathless of those who understand.
DHP375	In this matter, this is the beginning for a wise monk: guarding the senses, contentment, and restraint according to the monastic code.	In that case this beginning becomes here for the wise monk: guarding of senses, contentment, and restraint in the Patimokkha.
DHP376	Associate with friends who are good, energetic, and of pure livelihood. One should be cordial and skilled in conduct; then, full of joy, one will make an end of suffering.	Associate with friends [who are] good, clean-living [and] energetic; let there be a nature of friendly reception, [one] should be skilled in conduct; from that, [one being] full of joy will make an end of suffering.
DHP377	Just as the jasmine plant sheds its withered flowers, even so, O monks, you should cast off lust and hatred.	Like the jasmine sheds withered flowers, thus lust and aversion you should cast off, O monks.
DHP378	One with a calm body, calm speech, peaceful and well-composed, a monk who has disgorged the world’s bait is called 'tranquil'.	One who is physically calm, one who is verbally calm, peaceful, well meditatively composed, a monk who has vomited the bait of the world, is called 'at peace'.
DHP379	By yourself you should rebuke yourself; examine yourself by yourself. Thus self-guarded and mindful, O monk, you will live happily.	By yourself rebuke yourself, you should examine (yourself) by yourself. He, self-guarded, mindful, happily, monk, will live.
DHP380	One is indeed one's own lord; for what other lord could there be? One is indeed one's own destination; therefore, restrain yourself as a merchant restrains a noble horse.	Self indeed is the lord of self; (for what other lord could there be?) self indeed is the destination of self; therefore restraining oneself, like a noble horse, as a merchant.
DHP381	A monk full of joy, with faith in the Buddha's teaching, would attain the state of peace, the blissful stilling of formations.	A monk having much joy, being confident in the Buddha's instruction, should attain the peaceful place, the happiness of the quieting of conditions.
DHP382	Indeed, that young monk who applies himself to the Buddha's teaching illuminates this world, like the moon freed from a cloud.	Whoever indeed [is] a young monk [who] joins in the Buddha's teaching, he illuminates this world, like the moon released from a cloud.
DHP383	Strive and cut across the stream, O holy man, and dispel your sensual desires. Knowing the destruction of all conditioned things, you are one who knows the uncreated, O holy man.	Striving, cut across the stream, O holy man; drive out sense desires, O holy man. Having understood the destruction of conditioned things, you are one who knows the uncreated, O holy man.
DHP384	When the brahmin has gone to the far shore in two states, then all the fetters of that one who knows come to an end.	When in two things one who has gone beyond is the brahmin, then his all fetters go to an end, for the knowing one.
DHP385	For whom there is found neither the far shore nor the near shore, nor both; him, fearless and detached, I call a Brahmin.	For whom the far shore or the near shore or both far and near shore is not found, him I call a Brahmin, free from anguish and detached.
DHP386	One who is meditating, stainless, and seated, who has done what was to be done and is free from effluents, who has reached the supreme goal—him I call a Brahmin.	Meditating, stainless, seated, having done the duty, effluent-free, having reached the supreme goal—him I call a Brahmin.
DHP387	By day the sun shines, and by night the moon glows. The warrior shines in his armor, and the meditator shines in his contemplation. But all day and all night, the Buddha shines with radiant splendor.	By day the sun shines; by night the moon radiates. Armed, the warrior shines; the meditator shines. Then, throughout the entire day and night, the Buddha shines with splendor.
DHP388	One who has banished evil is called a 'brahmin'; because of living in harmony, one is called an 'ascetic'; by driving out one's own impurity, for that reason one is called a 'renunciant'.	'One who has banished evil' thus is a brahmin; by harmonious conduct one is called an 'ascetic'; driving out one's own impurity, from that [reason] one is called a 'renunciant'.
DHP389	One should not strike a brahmin, nor should a brahmin give vent to anger at him. Woe to the striker of a brahmin, but woe even more to him who gives vent to anger.	One should not strike a brahmin; nor at him should a brahmin release [anger]. Woe to the striker of a brahmin; after that, woe to whoever releases [anger] at him.
DHP390	It is no small advantage for a brahmin to restrain the mind from pleasant things; to the extent that the intention to harm turns away, to that same extent does suffering subside.	It is not a small thing better for an arahant: when there is restraint of the mind from dear things; from wherever the intention to harm turns away, from there indeed suffering is calmed.
DHP391	One for whom there is no bad deed by body, speech, or mind—restrained in these three ways—him I call a Brahmin.	For whom by body, by speech, by mind there is not a bad deed, restrained in the three ways, him I call a Brahmin.
DHP392	One should respectfully honor the person from whom one learns the Dhamma taught by the perfectly awakened Buddha, just as a Brahman honors the sacrificial fire.	From whom one would learn the Dhamma taught by the perfectly awakened Buddha, one should respectfully honor him, like a Brahman (honors) the fire sacrifice.
DHP393	Not by matted hair, nor by lineage, nor by birth does one become a Brahmin. But in whom there is truth and Dhamma, he is pure, and he is a true Brahmin.	Not by dreadlocks, not by clan, not by birth is one a Brahmin. In whom [is] truth and virtue, he [is] pure and he [is] a Brahmin.
DHP394	O fool, what is the use of your matted hair? What is the use of your antelope hide garment? Your interior is a tangle, but you polish the exterior.	What is the use for you with matted hairs, O unwise one? What is the use for you with the animal-hide garment? The interior of you is a thicket; the exterior you polish.
